Date,Open,High,Low,Close,Adj Close,Volume
2017-10-10,658.760010,659.510010,653.909973,654.590027,654.590027,554200
2017-10-11,656.849976,662.309998,656.760010,662.309998,662.309998,558400
2017-10-12,665.119995,666.739990,663.369995,666.539978,666.539978,561100
2017-10-13,669.000000,672.780029,659.099976,663.080017,663.080017,616600
2017-10-16,667.260010,668.500000,652.169983,659.409973,659.409973,554300
2017-10-17,660.609985,671.950012,660.330017,670.510010,670.510010,700000
2017-10-18,677.419983,679.500000,667.309998,668.419983,668.419983,713700
2017-10-19,671.219971,671.390015,664.190002,667.099976,667.099976,710600
2017-10-20,669.059998,672.950012,667.169983,672.950012,672.950012,659100
2017-10-23,674.979980,677.690002,674.640015,675.859985,675.859985,500000
2017-10-24,678.549988,687.450012,678.340027,687.210022,687.210022,583200
2017-10-25,688.830017,690.299988,684.840027,689.140015,689.140015,622300
2017-10-26,689.940002,690.530029,680.609985,680.609985,680.609985,600300
2017-10-27,685.200012,689.969971,682.900024,689.969971,689.969971,537100
2017-10-30,692.760010,693.119995,688.409973,689.679993,689.679993,470700
2017-10-31,691.070007,694.229980,689.289978,694.200012,694.200012,627100
2017-11-01,696.650024,696.929993,694.270020,695.770020,695.770020,630600
2017-11-02,698.140015,698.909973,691.520020,694.960022,694.960022,608900
2017-11-03,697.429993,701.130005,695.880005,701.130005,701.130005,661000
2017-11-06,703.200012,704.159973,699.750000,703.789978,703.789978,595300
2017-11-07,704.830017,704.830017,697.440002,701.140015,701.140015,649900
2017-11-08,702.690002,709.109985,701.520020,709.109985,709.109985,812400
2017-11-09,710.710022,711.780029,705.280029,709.940002,709.940002,614800
2017-11-10,709.849976,720.789978,709.549988,720.789978,720.789978,599900
2017-11-13,724.760010,741.380005,724.760010,741.380005,741.380005,687100
2017-11-14,746.880005,756.460022,742.789978,756.460022,756.460022,837100
2017-11-15,759.549988,773.049988,755.059998,768.030029,768.030029,944900
2017-11-16,775.460022,780.219971,759.700012,780.219971,780.219971,897400
2017-11-17,776.320007,779.570007,770.549988,775.849976,775.849976,767800
2017-11-20,776.739990,785.320007,776.309998,785.320007,785.320007,834800
2017-11-21,790.349976,793.599976,782.950012,789.380005,789.380005,809300
2017-11-22,793.789978,796.280029,779.200012,780.900024,780.900024,894400
2017-11-23,796.799988,796.799988,796.799988,796.799988,796.799988,0
2017-11-24,797.969971,803.739990,792.739990,792.739990,792.739990,751800
2017-11-27,793.809998,800.039978,783.849976,792.799988,792.799988,735800
2017-11-28,797.289978,797.530029,773.099976,773.119995,773.119995,891400
2017-11-29,776.750000,783.190002,770.969971,781.719971,781.719971,754800
2017-11-30,779.840027,782.419983,769.789978,771.419983,771.419983,1053600
2017-12-01,779.539978,788.150024,776.710022,787.700012,787.700012,883800
2017-12-04,788.020020,788.460022,778.200012,782.450012,782.450012,821400
2017-12-05,782.140015,783.609985,773.799988,774.119995,774.119995,860300
2017-12-06,778.280029,783.539978,765.250000,768.390015,768.390015,970300
2017-12-07,771.469971,773.280029,744.340027,753.460022,753.460022,1470900
2017-12-08,757.210022,760.729980,743.900024,744.059998,744.059998,1159200
2017-12-11,747.989990,764.090027,745.880005,764.090027,764.090027,790700
2017-12-12,768.299988,769.140015,755.030029,760.400024,760.400024,1018800
2017-12-13,764.330017,773.020020,763.169983,772.219971,772.219971,1143800
2017-12-14,777.250000,777.440002,764.739990,770.349976,770.349976,985000
2017-12-15,770.270020,775.039978,766.450012,771.820007,771.820007,1047400
2017-12-18,776.090027,777.400024,770.500000,770.500000,770.500000,1131000
