Date,Open,High,Low,Close,Adj Close,Volume,,Date,Open,High,Low,Close,Adj Close,Volume,,,NAS,KOS
7/19/2017,666.299988,671.530029,666.299988,671.530029,671.530029,500900,,7/19/2017,6363.240234,6387.72998,6362.189941,6385.040039,6385.040039,1862910000,,,,
7/20/2017,674.059998,677.590027,672.369995,676.51001,676.51001,569900,,7/20/2017,6396.459961,6398.259766,6365.680176,6390,6390,1818880000,,,,
7/21/2017,677.840027,678.150024,674.599976,676.599976,676.599976,523700,,7/21/2017,6383.049805,6388.779785,6365.120117,6387.75,6387.75,1797100000,,,,
7/24/2017,678.590027,679.460022,676.630005,677.320007,677.320007,529200,,7/24/2017,6387.819824,6417.700195,6380.609863,6410.810059,6410.810059,1735520000,,,,
7/25/2017,678.700012,679.47998,670.099976,670.469971,670.469971,677800,,7/25/2017,6407.589844,6425.450195,6396.870117,6412.169922,6412.169922,1925230000,,,,
7/26/2017,672.429993,672.630005,664.130005,667.219971,667.219971,593900,,7/26/2017,6425.930176,6432.379883,6416.299805,6422.75,6422.75,1988040000,,,,
7/27/2017,669.219971,670.599976,664.530029,666.47998,666.47998,527900,,7/27/2017,6459.759766,6460.839844,6318.620117,6382.189941,6382.189941,2483560000,,,,
7/28/2017,665.080017,665.080017,651.840027,652.950012,652.950012,559700,,7/28/2017,6350.27002,6379.700195,6337.220215,6374.680176,6374.680176,1860770000,,,,
7/31/2017,648.840027,651.830017,643.77002,650.469971,650.469971,504700,,7/31/2017,6394.689941,6396.589844,6338.790039,6348.120117,6348.120117,1891710000,,,,
8/1/2017,650.890015,655.070007,649.700012,653.119995,653.119995,487800,,8/1/2017,6372.160156,6375.75,6345.75,6362.939941,6362.939941,1812590000,,,,
8/2/2017,654.849976,658.280029,654.830017,657.52002,657.52002,494700,,8/2/2017,6393.100098,6394.209961,6313.430176,6362.649902,6362.649902,2104130000,,,,
8/3/2017,658.700012,658.940002,641.630005,643.090027,643.090027,528200,,8/3/2017,6366.240234,6368.529785,6331.140137,6340.339844,6340.339844,2113440000,,,,
8/4/2017,644.799988,648.340027,638.869995,641.580017,641.580017,459100,,8/4/2017,6350.790039,6361.490234,6329.72998,6351.560059,6351.560059,1907170000,,,,
8/7/2017,643.359985,650.01001,642.820007,648.390015,648.390015,455700,,8/7/2017,6361.060059,6386.029785,6356.22998,6383.77002,6383.77002,1701550000,,,,
8/8/2017,650.780029,651.909973,645.72998,651.669983,651.669983,607600,,8/8/2017,6373.330078,6423.350098,6355.879883,6370.459961,6370.459961,1914670000,,,,
8/9/2017,649.390015,650.090027,642.869995,642.869995,642.869995,849000,,8/9/2017,6322.919922,6355.040039,6309.439941,6352.330078,6352.330078,2033760000,,,,
8/10/2017,642.799988,646.559998,635.059998,640.039978,640.039978,770400,,8/10/2017,6312.649902,6318.279785,6214.410156,6216.870117,6216.870117,2204700000,,,,
8/11/2017,629.809998,635.289978,626.080017,628.340027,628.340027,606400,,8/11/2017,6222.180176,6266.890137,6216.189941,6256.560059,6256.560059,1794850000,,,,
8/14/2017,632.52002,633.98999,629.26001,629.369995,629.369995,548300,,8/14/2017,6306.109863,6346.830078,6305.549805,6340.22998,6340.22998,1698560000,,,,
8/16/2017,634.440002,635.969971,634.099976,634.909973,634.909973,607400,,8/16/2017,6348.109863,6374.560059,6330.27002,6345.109863,6345.109863,1804730000,,,,
8/17/2017,638.119995,642.280029,635.73999,642.109985,642.109985,531900,,8/17/2017,6322.720215,6334.22998,6221.910156,6221.910156,6221.910156,2041220000,,,,
8/18/2017,636.940002,643.859985,636.440002,643.580017,643.580017,528500,,8/18/2017,6222.459961,6254.220215,6193.379883,6216.529785,6216.529785,1964590000,,,,
8/21/2017,645.349976,645.349976,640.840027,640.849976,640.849976,585900,,8/21/2017,6216.319824,6226.930176,6177.189941,6213.129883,6213.129883,1576070000,,,,
