Date,NASDAQ,KOSDAQ,Adj Impressions,BTC
1/18/2018,7296,0.83532,56,11251
1/19/2018,7336.4,0.81839,40,11515
1/22/2018,7408,0.81197,34.66666667,10772
1/23/2018,7460.3,0.83182,33.33333333,10840
1/24/2018,7415.1,0.83214,30.66666667,11400
1/25/2018,7411.2,0.8357,30.66666667,11137
1/26/2018,7505.8,0.8492,30.66666667,11090
1/29/2018,7466.5,0.86216,25.33333333,11158
1/30/2018,7402.5,0.85649,28,10035
1/31/2018,7411.5,0.84962,29.33333333,10167
2/1/2018,7385.9,0.84463,38.66666667,9052.6
2/2/2018,7241,0.83651,52,8827.6
2/5/2018,6967.5,0.79814,78.71111111,6914.3
2/6/2018,7115.9,0.7981,102.2222222,7700.4
2/7/2018,7052,0.77186,64.4,7581.8
2/8/2018,6777.2,0.8016,55.2,8237.2
2/9/2018,6874.5,0.78362,47.02222222,8689.8
2/12/2018,6982,0.78421,38.84444444,8891.2
2/13/2018,7013.5,0.77133,36.8,8516.2
2/14/2018,7143.6,0.78867,36.8,9477.8
2/20/2018,7234.3,0.8039,36.8,11228
2/21/2018,7218.2,0.81429,35.77777778,10456
2/22/2018,7210.1,0.8093,33.73333333,9830.4
2/23/2018,7337.4,0.81355,29.64444444,10149
2/26/2018,7421.5,0.81322,27.6,10313
2/27/2018,7330.4,0.81283,28.62222222,10564
2/28/2018,7273,0.79707,27.6,10310
3/2/2018,7257.9,0.80001,25.55555556,11020
3/5/2018,7330.7,0.78585,24.53333333,11433
3/6/2018,7372,0.79907,24.53333333,10710
3/7/2018,7396.6,0.78216,27.6,9906.8
3/8/2018,7428,0.79416,27.6,9299.3
3/9/2018,7560.8,0.80519,30.66666667,9237
3/12/2018,7588.3,0.82237,24.53333333,9118.3
3/13/2018,7511,0.82421,23.51111111,9144.1
3/14/2018,7496.8,0.82484,27.6,8196.9
3/15/2018,7481.7,0.8281,31.68888889,8257
3/16/2018,7482,0.83182,25.55555556,8269.3
3/19/2018,7344.2,0.8193,27.6,8594.2
3/20/2018,7364.3,0.82807,24.53333333,8915.9
3/21/2018,7345.3,0.82356,23.51111111,8895.4
3/22/2018,7166.7,0.81061,23.51111111,8712.9
3/23/2018,6992.7,0.7716,21.46666667,8918.7
3/26/2018,7220.5,0.79393,25.55555556,8138.3
3/27/2018,7008.8,0.79872,23.51111111,7790.2
3/28/2018,6949.2,0.7914,21.46666667,7937.2
3/29/2018,7063.5,0.80537,26.57777778,7086.5
4/2/2018,6870.1,0.80705,24.53333333,7049.8
4/3/2018,6941.3,0.81126,23.51111111,7417.9
4/4/2018,7042.1,0.80213,21.46666667,6789.3
4/5/2018,7076.5,0.8081,23.51111111,6774.8
4/6/2018,6915.1,0.8072,24.53333333,6620.4
4/9/2018,6950.3,0.81323,21.46666667,6773.9
4/10/2018,7094.3,0.81589,20.44444444,6830.9
4/11/2018,7069,0.8234,18.4,6939.6
4/12/2018,7140.3,0.81975,23.51111111,7916.4
4/13/2018,7106.6,0.82944,23.51111111,7889.2
4/16/2018,7156.3,0.83411,19.42222222,8051.3
4/17/2018,7281.1,0.83813,18.4,7890.1
4/18/2018,7295.2,0.83079,19.42222222,8163.7
4/19/2018,7238.1,0.82094,19.42222222,8273.7
4/20/2018,7146.1,0.82693,20.44444444,8863.5
4/23/2018,7128.6,0.81749,19.42222222,8938.3
4/24/2018,7007.4,0.81246,23.51111111,9652.2
4/25/2018,7003.7,0.80903,22.48888889,8864.1
4/26/2018,7118.7,0.81783,18.4,9279
4/27/2018,7119.8,0.82444,17.37777778,8978.3
4/30/2018,7066.3,0.81463,16.35555556,9244.3
5/2/2018,7100.9,0.81006,16.35555556,9219.9
5/3/2018,7088.1,0.80545,17.37777778,9734.7
5/4/2018,7209.6,0.7964,16.35555556,9692.7
